line,direction,stop,bus,datetime,estimateArrive
73,2026-08-17T18:16:28.357953,1835,LTZ1835,"Stoke Newington, Common",490010689OJ,670,3350
73,2026-08-17T18:16:28.357953,1529,LTZ1529,Oxford Circus,490012837K,757,3785
24,2026-08-17T18:16:28.357953,1690,LTZ1690,Pimlico,490012280A,943,4715
73,2026-08-17T18:16:28.357953,1212,LTZ1212,Oxford Circus,490012837K,1117,5585
73,2026-08-17T18:16:28.357953,1826,LTZ1826,"Stoke Newington, Common",490010689OJ,1451,7255
18,2026-08-17T18:17:14.596115,75,LF75ORG,Sudbury,490006299B,2,10
24,2026-08-17T18:17:14.596115,1162,LTZ1162,Pimlico,490012765S,4,20
73,2026-08-17T18:17:14.596115,1815,LTZ1815,"Stoke Newington, Common",490001172K,4,20
25,2026-08-17T18:17:14.596115,20,SK20AYL,"City Thameslink, Holborn Viaduct",490013541A,10,50
24,2026-08-17T18:17:14.596115,1622,LTZ1622,Hampstead Heath,490010158N,20,100
24,2026-08-17T18:17:14.596115,1640,LTZ1640,Hampstead Heath,490003384SA,21,105
24,2026-08-17T18:17:14.596115,1272,LTZ1272,Hampstead Heath,490011003E,23,115
24,2026-08-17T18:17:14.596115,1607,LTZ1607,Pimlico,490004695D,32,160
24,2026-08-17T18:17:14.596115,1784,LTZ1784,Hampstead Heath,490000235C,35,175
73,2026-08-17T18:17:14.596115,1519,LTZ1519,"Stoke Newington, Common",490001103N1,39,195
24,2026-08-17T18:17:14.596115,1628,LTZ1628,Pimlico,490010260SD,47,235
73,2026-08-17T18:17:14.596115,1526,LTZ1526,"Stoke Newington, Common",490015396NK,47,235
73,2026-08-17T18:17:14.596115,1821,LTZ1821,Oxford Circus,490000077H,51,255
73,2026-08-17T18:17:14.596115,1476,LTZ1476,Oxford Circus,490004452U,54,270
73,2026-08-17T18:17:14.596115,1827,LTZ1827,"Stoke Newington, Common",490000252X,61,305
24,2026-08-17T18:17:14.596115,1786,LTZ1786,Pimlico,490012158S,63,315
73,2026-08-17T18:17:14.596115,1204,LTZ1204,Oxford Circus,490000007R,63,315
73,2026-08-17T18:17:14.596115,1499,LTZ1499,Oxford Circus,490000129R,71,355
73,2026-08-17T18:17:14.596115,1491,LTZ1491,"Stoke Newington, Common",490010689OJ,71,355
73,2026-08-17T18:17:14.596115,1209,LTZ1209,Oxford Circus,490009688S,72,360
24,2026-08-17T18:17:14.596115,1684,LTZ1684,Hampstead Heath,490015048A,73,365
24,2026-08-17T18:17:14.596115,1156,LTZ1156,Pimlico,490014504W,76,380
73,2026-08-17T18:17:14.596115,1523,LTZ1523,"Stoke Newington, Common",490008515C,84,420
24,2026-08-17T18:17:14.596115,1027,LTZ1027,Hampstead Heath,490006798CK,89,445
73,2026-08-17T18:17:14.596115,1833,LTZ1833,"Stoke Newington, Common",490001172K,104,520
73,2026-08-17T18:17:14.596115,1743,LTZ1743,"Stoke Newington, Common",490000089A,143,715
73,2026-08-17T18:17:14.596115,1517,LTZ1517,Oxford Circus,490002121ZT,153,765
73,2026-08-17T18:17:14.596115,1538,LTZ1538,"Stoke Newington, Common",490000129E,154,770
