id,name,lat,lon,line,direction
490007596K,Bank Station  / Poultry,51.51374,-0.09146,25,2
490000013D,Bank Station  / Cornhill,51.51338,-0.0876,25,2
490015079E,Bishopsgate,51.51345,-0.08499,25,2
490012783E,St Mary Axe,51.51351,-0.08275,25,2
490012755E,St Katharine Cree,51.51333,-0.07887,25,2
490000003Y,Aldgate Station,51.514293,-0.074735,25,2
490000004E,Aldgate East Station ><,51.5155,-0.07143,25,2
490018832E,Altab Ali Park,51.5167,-0.06852,25,2
490010258J,The East London Mosque,51.51819,-0.06452,25,2
490009873D,Whitechapel Stn   / Royal London Hosp,51.51941,-0.05879,25,2
490004147G,Booth Memorial,51.52034,-0.05414,25,2
490015508E2,Stepney Green,51.52091,-0.05115,25,2
490000220E1,Stepney Green Station,51.52177,-0.04699,25,2
490010513E,Bancroft Road / Ocean Estate,51.52223,-0.04475,25,2
490011315E,Queen Mary / University of London,51.52281,-0.04085,25,2
490007341E,Regents Canal,51.52435,-0.03709,25,2
490000146D,Mile End Station,51.52537,-0.03392,25,2
490012648L,Coborn Road,51.52639,-0.0292,25,2
490000029Q,Bow Road Station,51.52712,-0.02587,25,2
490002019A,Bow Church Station,51.52806,-0.02075,25,2
490004215M,Bow Church,51.52895,-0.01688,25,2
490009695MA,Marshgate Lane,51.53128,-0.0112,25,2
490003025E,Warton Road,51.53465,-0.00655,25,2
490014215N,Stratford High St Stn  / Carpenters Rd,51.53689,-0.00366,25,2
490012904N,Stratford Bus Station,51.54144,-0.00238,25,2
490012904B,Stratford Bus Station,51.541,-0.00191,25,2
490015114G,Stratford Centre / Moorfields Eye Hosp,51.54079,0.0011,25,2
490013480E,Litchfield Avenue,51.54233,0.00499,25,2
490014269E,Water Lane / University of East London,51.54266,0.00861,25,2
490003468E,Atherton Leisure Centre,51.54446,0.01538,25,2
490009563E,Margery Park Road,51.54584,0.02063,25,2
490006917F,Woodgrange Road,51.54646,0.02441,25,2
490007497E,Green Street,51.5471,0.03191,25,2
490008603E,Katherine Road,51.54777,0.03658,25,2
490012131E,Shrewsbury Road,51.54835,0.0398,25,2
490001341H,Woodgrange Park Station,51.54919,0.04318,25,2
490008189E,High Street North,51.55042,0.04671,25,2
490006856E,First Avenue,51.5519,0.05072,25,2
490009570E,Rabbits Road,51.55257,0.05281,25,2
490012005E,Seventh Avenue,51.55363,0.05565,25,2
490009219E,Little Ilford Lane,51.55509,0.06024,25,2
490010328E,North Circular Road,51.55601,0.06383,25,2
490008467F,Ilford Station  / Ilford Hill,51.55816,0.06891,25,2
490004986P,Ilford / Chapel Road,51.55769,0.07024,25,2
490008466R,Redbridge Central Library,51.55815,0.07435,25,2
490007657S,Hainault Street,51.55959,0.07589,25,2
490010689OJ,Great Titchfield St / Oxford Circus Stn,51.51567,-0.13905,73,1
490000235V,Tottenham Court Road Station,51.51638,-0.13195,73,1
490000077D,Euston Station,51.52772,-0.13231,73,1
490015700C,British Library,51.52903,-0.12661,73,1
490000129E,King's Cross Station,51.5305,-0.12307,73,1
490001172K,King's Cross Road,51.53111,-0.11856,73,1
490005904E,Penton Rise,51.53131,-0.11577,73,1
490010928E,Penton Street,51.53164,-0.11175,73,1
490003650T,Baron Street / Chapel Market,51.53228,-0.10929,73,1
490014603U,White Lion Street,51.53285,-0.10717,73,1
490000007X,Angel Station,51.53396,-0.10558,73,1
490008515C,Islington Green,51.53622,-0.10243,73,1
490010709N,Packington Street,51.53761,-0.10031,73,1
490005816N2,Cross Street,51.53831,-0.09948,73,1
490001103N1,Essex Road Station,51.54005,-0.09694,73,1
490010326EE,Northchurch Road,51.54248,-0.09225,73,1
490010515N,Ockendon Road,51.54449,-0.08933,73,1
